G,Date,Time,Opponent,Result,Overtime,Tm,Opp,W,L,Streak
65,"Thu, Mar 8, 2018",10:30p ET,San Antonio Spurs,W,no,110,107,51,14,W 7
66,"Fri, Mar 9, 2018",10:00p ET,Portland Trail Blazers,L,no,108,125,51,15,L 1
67,"Sun, Mar 11, 2018",3:30p ET,Minnesota Timberwolves,L,no,103,109,51,16,L 2
68,"Wed, Mar 14, 2018",10:30p ET,Los Angeles Lakers,W,no,117,106,52,16,W 1
69,"Fri, Mar 16, 2018",10:30p ET,Sacramento Kings,L,no,93,98,52,17,L 1
70,"Sat, Mar 17, 2018",10:00p ET,Phoenix Suns,W,no,124,109,53,17,W 1
71,"Mon, Mar 19, 2018",9:30p ET,San Antonio Spurs,L,no,75,89,53,18,L 1
72,"Fri, Mar 23, 2018",10:30p ET,Atlanta Hawks,W,no,106,94,54,18,W 1
73,"Sun, Mar 25, 2018",8:30p ET,Utah Jazz,L,no,91,110,54,19,L 1
74,"Tue, Mar 27, 2018",10:30p ET,Indiana Pacers,L,no,81,92,54,20,L 2
75,"Thu, Mar 29, 2018",10:30p ET,Milwaukee Bucks,L,no,107,116,54,21,L 3
76,"Sat, Mar 31, 2018",10:00p ET,Sacramento Kings,W,no,112,96,55,21,W 1
77,"Sun, Apr 1, 2018",8:30p ET,Phoenix Suns,W,no,117,107,56,21,W 2
78,"Tue, Apr 3, 2018",8:00p ET,Oklahoma City Thunder,W,no,111,107,57,21,W 3
79,"Thu, Apr 5, 2018",7:00p ET,Indiana Pacers,L,no,106,126,57,22,L 1
80,"Sat, Apr 7, 2018",8:30p ET,New Orleans Pelicans,L,no,120,126,57,23,L 2
81,"Sun, Apr 8, 2018",9:00p ET,Phoenix Suns,W,no,117,100,58,23,W 1
82,"Tue, Apr 10, 2018",9:00p ET,Utah Jazz,L,no,79,119,58,24,L 1
